en,turd/turds,poo,1
en_US,asshole/assholes,idiot,2
en,wanker/wankers,idiot,1
en,wank/wanks/wanked,to masturbate,2
en,whore/whores/whored,vulgar word for prostitute,3
es_CO,carechimba,dickface,2
es_CO,careculo,assface,2
es_CO,caremonda,dickface,3
es_CO,careverga,dickface,3
es_CO,chocho,slang for vulva,2
es_CO,chucha,foul armpit odour; also a vulgar word for vagina,2
es_CO,comemierda,shit eater,3
es_CO,comeverga,dick eater,3
es_CO,cotopla,penis,2
es_CO,culear,slang for having sex,2
es_CO,culo/culito,ass,1
es_CO,gonorrea,gonorrhea,2
es_CO,güeva,testicle; also idiot,2
es_CO,hijueputa,son of a bitch,2
es_CO,hueva,testicle,2
es_CO,idiota,idiot,2
es_CO,imbecil,dumbass,3
es_CO,jopo,ass,2
es_CO,jueputa,son of a bitch,2
es_CO,lameculo,bootlicker,3
es_CO,malparido,ill-born,3
es_CO,marica,dumbass; previously a vulgar word for gay,1
es_CO,maricón/maricona,dumbass; previously a vulgar word for gay,3
es_CO,mierda,poop,1
es_CO,monda,penis,2
es_CO,nojoda,fuck,1
es_CO,pajero/pajera,wanker,2
es_CO,picha,penis,2
es_CO,pirigallo,clitoris,3
es_CO,puta,prostitute or slut,3
es_CO,retrasado,retarded,3
es_CO,verga,penis,2
es_ES,anormal,abnormal,3
es_ES,cabronazo,big motherfucker,2
es_ES,cabron,motherfucker,2
es_ES,cabrón,motherfucker,2
es_ES,carapolla,dickface,2
es_ES,chorra,penis,2
es_ES,cojones,slang for testicles,2
es_ES,comemierda,poo eater,2
es_ES,coño,fuck; also vagina,2
es_ES,culo,ass,2
es_ES,follar,vulgar word for having sex,2
es_ES,gilipollas,asshole,2
es_ES,hijoputa,son of a bitch,3
es_ES,joder,fuck,2
es_ES,mamada,sucking a penis,3
es_ES,marica/maricón/maricona,dumbass; previously a vulgar word for gay,3
es_ES,mierda,poop,2
es_ES,pajero,wanker (male),2
es_ES,pinga,penis,2
es_ES,polla,dick,2
es_ES,potorro,vagina,3
es_ES,puta,prostitute,3
es_ES,soplapollas,motherfucker,2
es_ES,subnormal,retard,3
es_ES,verga,dick,3
es,mierda,vulgar word for poop,2
es_MX,chingar,vulgar world of sex,3
es_MX,culero,vulgar word of idiot,3
es_MX,joto,vulgar world for gay people,3
es_MX,mierda,poop,3
es_MX,panocha,vagina,3
es_MX,pendejo,vulgar world of idiot,3
es_MX,puto,prostitute,3
es_MX,verga,penis,3
es_PE,cabro,gay person,3
es_PE,cholo,indian or of indian descent; either endearing or outright racist,2
es_PE,cojuda/kujda/kojuda,female idiot,2
es_PE,cojudo/kjudo/kojudo,idiot; also aggressive-friendly,2
es_PE,concha,vulgar for vagina,2
es_PE,csm/csmr/csmre/cnsmr/conchasm/conchesm,some specific part of your mother,3
es_PE,hdp/hdep,son of a bitch; short form,3
es_PE,huevona/webona,female idiot,2
es_PE,huevón/huevon/webon/webón,idiot or aggressive-friendly for dude,2
es_PE,imbécil,an idiot,1
es_PE,pichula,vulgar for penis,2
es_PE,pincho,vulgar for penis,2
es_PE,pinga,vulgar for penis,2
es_PR,carajo,fuck,3
es_PR,cojones,slang for testicles,2
es_PR,coño,fuck,3
es_PR,puñeta,slang for masturbating,3
es,puta,vulgar word for prostitute,3
fi,äpärä,child of unmarried parents,3
fi,helvetti,hell,2
fi,hintti/hinttari/hinuri,vulgar word for homosexual person,3
fi,huora/horo,prostitute,3
fi,jumalauta,goddamn,2
fi,kulli,vulgar word for penis,3
fi,kusipää,vulgar word for idiot,3
fi,kusi,vulgar word for urine,2
fi,kyrpä,vulgar word for penis,3
fi,mälli,semen,3
fi,mulkku,vulgar word for penis; also idiot,3
fi,narttu,bitch,3
fi,neekeri,vulgar word for dark-skinned person,3
fi,nekru,vulgar word for dark-skinned person,3
fi,paska,vulgar word for feces,2
fi,perkele,the devil,2
fi,perse,vulgar word for butt,2
fi,pillu,vulgar word for vagina,3
fi,pimppi,vulgar word for vagina,1
fi,runkkari,vulgar word for idiot,3
fi,ryssä,vulgar name for russian people,3
fi,saatana,the devil,2
fi,tissi,breast,1
fi,transu,vulgar word for transsexual person,3
fi,vittu,vulgar word for vagina,3
fi,yön timo,vulgar word for dark-skinned person,3
fr,abruti,idiot,1
fr,baiser,vulgar word for sex,3
fr,baltringue,vulgar word for homosexual people,3
fr,batard,arsehole; also technically a unlegitimate son,2
fr,bicot,extreme vulgar name for north-african person,3
fr,bite,vulgar word for penis,2
fr,blédard,extreme vulgar name for north-african person,3
fr,boudin,vulgar name for fat people; also the name of a recipe,2
fr,bouffon,idiot,2
fr,bougnoule,extreme vulgar name for north-african person,3
fr,bouillave,vulgar word for sex,3
fr,boukak,extreme vulgar name for dark-skinned person,3
fr,branler,masturbate,3
fr,branleur,vulgar name for lazy people,3
fr,bridé,vulgar name for asian people; also meaning limited,3
